COD_EMPRESA,CD_CIDADE,CD_ESTADO,TIPO_OPERACAO,RECEITA,QTD_ARMAZENAGEM,TRANSACOES,SKUS_ATIVOS,UNIVERSO,PRECO_MEDIO_ARMAZENAGEM,TICKET_MEDIO_TRANSACAO,PARTICIPACAO_RECEITA_PCT,PARTICIPACAO_QTD_PCT,QTD_ARMAZENAGEM_2024,QTD_ARMAZENAGEM_2025,RECEITA_2024,RECEITA_2025,TRANSACOES_2024,TRANSACOES_2025,DELTA_RECEITA_2025_VS_2024,VAR_RECEITA_2025_VS_2024_PCT,DELTA_QTD_ARMAZENAGEM_2025_VS_2024,VAR_QTD_ARMAZENAGEM_2025_VS_2024_PCT,DELTA_TRANSACOES_2025_VS_2024,VAR_TRANSACOES_2025_VS_2024_PCT,FLAG_LOJA93
93,ALHANDRA,PB,LOJA_93_ATACADO_B2B,153280992.573136,97076.000000,24883,327,REDE_COMPLETA,1578.979280,6160.068825,31.767045,2.091306,75789.000000,21287.000000,114819760.094140,38461232.478996,18980,5903,-76358527.615144,-66.502950,-54502.000000,-71.912811,-13077,-68.898841,1
3,SALVADOR,BA,REDE_FISICA,62599992.354728,878132.710000,163108,2446,REDE_COMPLETA,71.287622,383.794739,12.973668,18.917594,570695.020000,307437.690000,42114443.799036,20485548.555692,110625,52483,-21628895.243344,-51.357428,-263257.330000,-46.129250,-58142,-52.557740,0
2,RECIFE,PE,REDE_FISICA,53377091.636405,805683.240000,168222,2516,REDE_COMPLETA,66.250716,317.301492,11.062249,17.356817,530902.730000,274780.510000,34744849.667341,18632241.969064,112820,55402,-16112607.698276,-46.374090,-256122.220000,-48.242777,-57418,-50.893459,0
4,RECIFE,PE,REDE_FISICA,43308232.955665,664389.230000,168176,2477,REDE_COMPLETA,65.185032,257.517321,8.975507,14.312923,449320.390000,215068.840000,28683469.187663,14624763.768002,113912,54264,-14058705.419661,-49.013267,-234251.550000,-52.134636,-59648,-52.363228,0
6,JOAO PESSOA,PB,REDE_FISICA,34816801.877228,518511.930000,126733,2387,REDE_COMPLETA,67.147543,274.725619,7.215682,11.170291,346013.380000,172498.550000,23061505.573457,11755296.303771,85307,41426,-11306209.269686,-49.026328,-173514.830000,-50.146856,-43881,-51.438921,0
92,CABO DE SANTO AGOSTINHO,PE,REDE_FISICA,28564884.679230,47817.950000,9107,465,REDE_COMPLETA,597.367404,3136.585558,5.919990,1.030141,37237.150000,10580.800000,19916998.649881,8647886.029348,6539,2568,-11269112.620533,-56.580375,-26656.350000,-71.585366,-3971,-60.727940,0
5,ARACAJU,SE,REDE_FISICA,23529731.771560,347034.950000,94289,2187,REDE_COMPLETA,67.802196,249.549065,4.876469,7.476167,233063.250000,113971.700000,15646156.099942,7883575.671618,63796,30493,-7762580.428323,-49.613339,-119091.550000,-51.098382,-33303,-52.202332,0
7,NATAL,RN,REDE_FISICA,22250427.201873,297469.540000,93598,2203,REDE_COMPLETA,74.799010,237.723319,4.611337,6.408380,207039.380000,90430.160000,14367463.204469,7882963.997405,63541,30057,-6484499.207064,-45.133223,-116609.220000,-56.322242,-33484,-52.696684,0
8,CARUARU,PE,REDE_FISICA,21341319.339644,350865.490000,81056,2232,REDE_COMPLETA,60.824789,263.291050,4.422927,7.558688,220329.340000,130536.150000,13377096.294940,7964223.044704,53484,27572,-5412873.250236,-40.463738,-89793.190000,-40.754078,-25912,-48.448134,0
9,SALVADOR,BA,REDE_FISICA,21066060.289292,386495.810000,100680,2113,REDE_COMPLETA,54.505275,209.237786,4.365880,8.326271,228930.960000,157564.850000,12434628.149484,8631432.139808,60883,39797,-3803196.009677,-30.585523,-71366.110000,-31.173639,-21086,-34.633642,0
1,GARANHUNS,PE,REDE_FISICA,18380213.437082,248406.760000,60538,2034,REDE_COMPLETA,73.992404,303.614481,3.809246,5.351422,167680.240000,80726.520000,11692580.769704,6687632.667378,40325,20213,-5004948.102326,-42.804477,-86953.720000,-51.856868,-20112,-49.874768,0
3,SALVADOR,BA,REDE_FISICA,62599992.354728,878132.710000,163108,2446,REDE_FISICA_SEM_LOJA93,71.287622,383.794739,19.013786,19.321670,570695.020000,307437.690000,42114443.799036,20485548.555692,110625,52483,-21628895.243344,-51.357428,-263257.330000,-46.129250,-58142,-52.557740,0
2,RECIFE,PE,REDE_FISICA,53377091.636405,805683.240000,168222,2516,REDE_FISICA_SEM_LOJA93,66.250716,317.301492,16.212472,17.727554,530902.730000,274780.510000,34744849.667341,18632241.969064,112820,55402,-16112607.698276,-46.374090,-256122.220000,-48.242777,-57418,-50.893459,0
4,RECIFE,PE,REDE_FISICA,43308232.955665,664389.230000,168176,2477,REDE_FISICA_SEM_LOJA93,65.185032,257.517321,13.154211,14.618644,449320.390000,215068.840000,28683469.187663,14624763.768002,113912,54264,-14058705.419661,-49.013267,-234251.550000,-52.134636,-59648,-52.363228,0
6,JOAO PESSOA,PB,REDE_FISICA,34816801.877228,518511.930000,126733,2387,REDE_FISICA_SEM_LOJA93,67.147543,274.725619,10.575069,11.408886,346013.380000,172498.550000,23061505.573457,11755296.303771,85307,41426,-11306209.269686,-49.026328,-173514.830000,-50.146856,-43881,-51.438921,0
92,CABO DE SANTO AGOSTINHO,PE,REDE_FISICA,28564884.679230,47817.950000,9107,465,REDE_FISICA_SEM_LOJA93,597.367404,3136.585558,8.676145,1.052145,37237.150000,10580.800000,19916998.649881,8647886.029348,6539,2568,-11269112.620533,-56.580375,-26656.350000,-71.585366,-3971,-60.727940,0
5,ARACAJU,SE,REDE_FISICA,23529731.771560,347034.950000,94289,2187,REDE_FISICA_SEM_LOJA93,67.802196,249.549065,7.146795,7.635856,233063.250000,113971.700000,15646156.099942,7883575.671618,63796,30493,-7762580.428323,-49.613339,-119091.550000,-51.098382,-33303,-52.202332,0
7,NATAL,RN,REDE_FISICA,22250427.201873,297469.540000,93598,2203,REDE_FISICA_SEM_LOJA93,74.799010,237.723319,6.758225,6.545261,207039.380000,90430.160000,14367463.204469,7882963.997405,63541,30057,-6484499.207064,-45.133223,-116609.220000,-56.322242,-33484,-52.696684,0
8,CARUARU,PE,REDE_FISICA,21341319.339644,350865.490000,81056,2232,REDE_FISICA_SEM_LOJA93,60.824789,263.291050,6.482098,7.720140,220329.340000,130536.150000,13377096.294940,7964223.044704,53484,27572,-5412873.250236,-40.463738,-89793.190000,-40.754078,-25912,-48.448134,0
9,SALVADOR,BA,REDE_FISICA,21066060.289292,386495.810000,100680,2113,REDE_FISICA_SEM_LOJA93,54.505275,209.237786,6.398492,8.504118,228930.960000,157564.850000,12434628.149484,8631432.139808,60883,39797,-3803196.009677,-30.585523,-71366.110000,-31.173639,-21086,-34.633642,0
1,GARANHUNS,PE,REDE_FISICA,18380213.437082,248406.760000,60538,2034,REDE_FISICA_SEM_LOJA93,73.992404,303.614481,5.582708,5.465727,167680.240000,80726.520000,11692580.769704,6687632.667378,40325,20213,-5004948.102326,-42.804477,-86953.720000,-51.856868,-20112,-49.874768,0
